0, 0
1, 0
2, 0
3, 0
4, 0
5, 0
6, 0
7, 0
8, 0
9, 0
10, 0
11, 0
12, 85233
13, 4553
14, 910
15, 0
16, 156
17, 22224
18, 7985
19, 67233
20, 3607
21, 66865
22, 24902
23, 10590
24, 4234
25, 0
26, 7614
27, 17984
28, 5699
29, 1736
30, 12
31, 7365
32, 13
33, 7764
34, 6987
35, 11
36, 0
37, 0
38, 3
39, 0
40, 0
41, 0
42, 0
43, 0
44, 0
45, 0
46, 1
47, 0
48, 0
49, 0
50, 0
51, 3
52, 1
53, 0
54, 0
55, 0
56, 0
57, 0
58, 0
59, 1
60, 0
61, 0
62, 0
63, 0
64, 0
65, 0
66, 0
67, 0
68, 0
69, 0
70, 0
71, 0
72, 0
73, 0
74, 3
75, 12505
76, 62515
77, 60
78, 54889
79, 12494
80, 17741
81, 14652
82, 276
83, 5503
84, 10844
85, 8493
86, 195
87, 78
88, 179
89, 4
90, 6
91, 0
92, 0
93, 0
94, 0
95, 0
96, 0
97, 1
98, 0
99, 0
100, 0
101, 0
102, 0
103, 4
104, 0
105, 0
106, 0
107, 0
108, 0
109, 0
110, 2
111, 0
112, 4
113, 197
114, 5
115, 0
116, 0
117, 0
118, 1
119, 0
120, 0
121, 0
122, 0
123, 0
124, 0
125, 0
126, 0
127, 0
128, 0
129, 0
130, 0
131, 0
132, 3
133, 0
134, 15
135, 15
136, 0
137, 0
138, 1
139, 0
140, 0
141, 0
142, 0
143, 0
144, 1230
145, 1772
146, 1721
147, 1
148, 9961
149, 8015
150, 70554
151, 68828
152, 382
153, 66905
154, 12916
155, 13102
156, 1180
157, 0
158, 81
159, 159
160, 31
161, 123
162, 1
163, 0
164, 0
165, 0
166, 1
167, 0
168, 0
169, 7833
170, 5906
171, 1
172, 0
173, 0
174, 0
175, 46644
176, 13
177, 39638
178, 6196
179, 7374
180, 1502
181, 4
182, 16412
183, 15202
184, 0
185, 3488
186, 0
187, 2809
188, 94
189, 18854
190, 22596
191, 20392
192, 21015
193, 28197
194, 21053
195, 24601
196, 21070
197, 25478
198, 24743
199, 24912
200, 24709
201, 25018
202, 25832
203, 21055
204, 2370
205, 286
206, 83
207, 155
208, 57
209, 90
210, 48
211, 14
212, 0
213, 10
214, 4
215, 6
216, 133
217, 97
218, 46
219, 41
220, 32
221, 27
222, 14
223, 20
224, 49
225, 12
226, 23
227, 43
228, 27
229, 10
230, 10
231, 25
232, 122
233, 568
234, 676
235, 1060
236, 50
237, 197
238, 161
239, 72
240, 24
241, 460
242, 434
243, 248
244, 35
245, 17
246, 21
247, 221
248, 118
249, 271
250, 5
251, 24
252, 66
253, 31
254, 51
255, 0
256, 0
257, 38
258, 18
259, 18
260, 16
261, 16
262, 24
263, 7
264, 62
265, 45
266, 32
267, 37
268, 6
269, 8
270, 3
271, 12
272, 21
273, 18
274, 37
275, 83
276, 7
277, 0
278, 25
279, 34
280, 25
281, 12
282, 19
283, 22
284, 19
285, 21
286, 5
287, 0
288, 0
289, 25
290, 36
291, 29
292, 17
293, 56
294, 42
295, 25
296, 20
297, 34
298, 14
299, 16
300, 31
301, 37
302, 27
303, 20
304, 84186
305, 12
306, 68
307, 79
308, 65
309, 70
310, 72
311, 56
312, 87
313, 85
314, 92
315, 96
316, 67
317, 70
318, 80
319, 27
320, 13
321, 77
322, 34
323, 58
324, 14
325, 96
326, 14
327, 33
328, 60
329, 12
330, 22
331, 39
332, 8
333, 10
334, 28
335, 11
336, 7
337, 48
338, 38
339, 13
340, 10
341, 35
342, 7
343, 8
344, 39
345, 15
346, 7
347, 35
348, 9
349, 14
350, 37
351, 23
352, 13
353, 81
354, 6
355, 54
356, 90
357, 16
358, 35
359, 5
360, 9
361, 54
362, 19
363, 53
364, 6
365, 6
366, 89
367, 7
368, 2
369, 26
370, 9
371, 89
372, 4
373, 65
374, 32
375, 5
376, 12
377, 25
378, 16
379, 10
380, 125
381, 94
382, 101
383, 7
384, 5
385, 17
386, 71
387, 7
388, 7
389, 38
390, 31
391, 6
392, 23
393, 68
394, 8
395, 86
396, 10
397, 10
398, 47
399, 45
400, 7
401, 35
402, 17
403, 60
404, 11
405, 67
406, 7
407, 7
408, 9
409, 1
410, 3
411, 6
412, 84291
